License Type Name,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,Zip,Latitude,Longitude
FARM BREWER,CAYUGA,"SHEPHERDS BREWING COMPANY LLC, THE",THE GOOD SHEPHERDS BREWING COMPANY,132 GENESEE ST,,AUBURN,NY,13021,42.93051,-76.56813
FARM BREWER,CAYUGA,LUNKENHEIMER CRAFT BREWING CO LLC,,8920 N SENECA ST,,WEEDSPORT,NY,13166,43.04928,-76.56268
FARM BREWER,CAYUGA,CHAOTIC ALES INC,AURORA ALE & LAGER CO,1891 STATE RTE 90 N,,KING FERRY,NY,13081,0,0
FARM BREWER,CAYUGA,SUMMERHILL BREWING LLC,,14408 STATE RTE 90,,LOCKE,NY,13092,0,0
"FARM DISTILLER ""D""",CAYUGA,DILLS RUN VINEYARD INC,DILL'S RUN DISTILLERY,3862 STATE RTE 90,,UNION SPRINGS,NY,13160,42.8043816,-76.70368622
FARM WINERY,CAYUGA,CJS VINEYARDS LLC,CJS VINEYARDS,6900 FOSTERVILLE RD,,AUBURN,NY,13022,42.95150618,-76.67038689
FARM WINERY,CAYUGA,ROBERT DUSSEAU & STEPHEN C DUSSEAU,CHATEAU DUSSEAU,5292 ERRON HILL RD,,LOCKE,NY,13092,42.6644869,-76.39331171
FARM WINERY,CAYUGA,JOHN C IZZO,IZZOS WHITE BARN WINERY,6634 CAYUGA ROAD,RT 20 TO NORTH & GENESEE TO SO,CAYUGA,NY,13034,42.93857212,-76.70584455
FARM WINERY,CAYUGA,ROBERT RAMOND WINTAMUTE & KATHYANN WINTAMUTE,THE APPLE STATION WINERY,5279 CROSS ROAD,,CAYUGA,NY,13034,42.87329271,-76.68317024
FARM WINERY,CAYUGA,BRIGHT LEAF LLC,WILSON FAMILY CELLARS/BRIGHT LEAF VINEYARD,1250 CLEARVIEW RD,,KING FERRY,NY,13081,42.6589,-76.65742
FARM WINERY,CAYUGA,HARD PRESSED CIDERY LLC,,8174 GRANT AVE,,WEEDSPORT,NY,13166,43.0134,-76.50709
FARM WINERY,CAYUGA,GIANCARELLI BROS WINERY LLC,GIANCARELLI BROTHERS WINERY,10252 SHORTCUT RD,,WEEDSPORT,NY,13166,43.11324711,-76.5348836
FARM WINERY,CAYUGA,KING FERRY WINERY INC,TRELEAVEN,658 LAKE ROAD,T/O GENOA,KING FERRY,NY,13081,42.64995364,-76.6355014
FARM WINERY,CAYUGA,STERLING CIDERY LLC,,14451 RICHMOND AVE,,FAIR HAVEN,NY,13064,43.31629,-76.70398
FARM WINERY,CAYUGA,HEART & HANDS WINE COMPANY INC,HEART & HANDS WINE COMPANY INC,4162 STATE ROUTE 90N,FARLEYS POINT RD & CARRS COVE,UNION SPRINGS,NY,13160,42.86764647,-77.2302568
MICRO BREWER,CAYUGA,PRISON CITY BREWING LLC,PRISON CITY PUB & BREWERY,28 STATE ST,,AUBURN,NY,13021,42.93179,-76.56824
MICRO BREWER,CAYUGA,SUMMERHILL BREWING LLC,,384 CHAMPLIN RD,,GROTON,NY,13073,42.59086,-76.29685
MICRO BREWER,CAYUGA,"SHEPHERDS BREWING COMPANY LLC, THE",THE GOOD SHEPHERDS BREWING COMPANY,31 LOOP RD,STE 1,AUBURN,NY,13021,42.93264,-76.56498
RESTAURANT BREWER,CAYUGA,NEXT CHAPTER BREWING COMPANY INC,NEXT CHAPTER BREWPUB,100 GENESEE ST,STE B,AUBURN,NY,13021,42.9313,-76.56673
RESTAURANT BREWER,CAYUGA,PRISON CITY BREWING LLC,PRISON CITY PUB & BREWERY,28 STATE ST,,AUBURN,NY,13021,42.93199,-76.56849
WINERY,CAYUGA,WEST BAY ESTATES LLC,COLLOCA ESTATE WINERY,14678 W BAY RD,,STERLING,NY,13156,43.3293,-76.72126
WINERY,CAYUGA,LONG POINT WINERY LTD,LONG POINT WINERY,1485 LAKE ROAD,,AURORA,NY,13026,42.71074334,-76.68579399
BREWER,ONTARIO,CONSTELLATION BRANDS INC,,116 BUFFALO ST,,CANANDAIGUA,NY,14424,42.8964164,-77.29376828
"DISTILLER ""B""",ONTARIO,CONSTELLATION BRANDS INC,,116 BUFFALO ST,,CANANDAIGUA,NY,14424,42.89829,-77.29629
